frequency_mode,seed,K,sigma_omega,rho,Lambda_K,D_meas,D_meas_over_Lambda_K,relative_drift_error,t_f_num,fast_threshold_reached,locked_profile_residual,sphere_norm_error
deterministic,-1,8.0,0.16,0.03357488238658072,0.0032015367121530306,0.003200810475168118,0.9997731598759572,0.0002268401240428375,0.12229016120066703,True,1.609823385706477e-15,5.054908713830741e-10
deterministic,-1,8.0,0.2,0.04196860298322589,0.005003753751372754,0.0050016827869169694,0.9995861178309952,0.0004138821690048422,0.12229016120066703,True,4.440892098500626e-16,5.217248855160506e-10
deterministic,-1,8.0,0.24,0.05036232357987106,0.007207788887503884,0.0072029134025972255,0.9993235810617163,0.0006764189382837404,0.12229016120066703,True,1.4988010832439613e-15,5.484537268785061e-10
deterministic,-1,10.0,0.16,0.026859905909264577,0.0025607865267772856,0.0025604398311559126,0.9998646136186099,0.00013538638139010128,0.12229016120066703,True,1.0547118733938987e-15,5.132918534656028e-10
deterministic,-1,10.0,0.2,0.03357488238658071,0.004001920890191293,0.004000941623358605,0.9997553008019004,0.00024469919809955165,0.12229016120066703,True,1.1102230246251565e-16,5.190510243835433e-10
deterministic,-1,10.0,0.24,0.04028985886389685,0.0057639848291623315,0.005761673360793305,0.99959898083747,0.0004010191625299919,0.12229016120066703,True,5.551115123125783e-16,5.400588865001055e-10
deterministic,-1,12.0,0.16,0.022383254924387145,0.0021337884145207963,0.0021335978532825125,0.9999106934703614,8.930652963856645e-05,0.12229016120066703,True,1.609823385706477e-15,5.19330356496539e-10
deterministic,-1,12.0,0.2,0.027979068655483927,0.0033344446359879314,0.0033339123481392497,0.9998403668656133,0.00015963313438671634,0.12229016120066703,True,8.881784197001252e-16,5.232109190345113e-10
deterministic,-1,12.0,0.24,0.033574882386580705,0.004802305068229554,0.00480105178777195,0.9997390252306345,0.00026097476936548514,0.12229016120066703,True,5.551115123125783e-16,5.40569589091433e-10
